value,code
"1,913",AK
"5,209",AL
"4,214",AR
"11,302",AZ
"120,098",CA
"16,768",CO
"4,209",CT
"6,954",DC
"1,008",DE
"55,170",FL
"20,516",GA
"1,301",GU
"6,246",HI
"2,928",IA
"1,968",ID
"14,144",IL
"6,259",IN
"2,684",KS
"5,230",KY
"7,772",LA
"17,501",MA
"9,454",MD
"2,393",ME
"12,592",MI
"7,744",MN
"10,237",MO
"2,413",MS
"1,833",MT
"13,524",NC
688,ND
"3,789",NE
"1,496",NH
"13,025",NJ
"3,245",NM
"9,926",NV
"69,566",NY
"13,977",OH
"5,032",OK
"15,828",OR
"14,736",PA
"3,212",PR
"1,277",RI
"4,915",SC
859,SD
"9,426",TN
"34,052",TX
"3,527",UT
"8,424",VA
484,VI
"1,160",VT
"20,504",WA
"6,027",WI
"2,410",WV
"1,813",WY
"622,982",Total
,