State,Year ,"Sheltered Homeless, 2014","Unsheltered Homeless, 2014","Total Homeless, 2014"
AK,2014,"1,639",145,"1,784"
AL,2014,"3,518","1,043","4,561"
AR,2014,"1,503","1,433","2,936"
AZ,2014,"7,926","2,569","10,495"
CA,2014,"42,515","71,437","113,952"
CO,2014,"8,083","1,945","10,028"
CT,2014,"3,531",919,"4,450"
DC,2014,"7,352",396,"7,748"
DE,2014,864,37,901
FL,2014,"19,851","21,691","41,542"
GA,2014,"8,214","8,307","16,521"
GU,2014,126,"1,230","1,356"
HI,2014,"3,813","3,105","6,918"
IA,2014,"2,926",196,"3,122"
ID,2014,"1,468",636,"2,104"
IL,2014,"11,409","1,698","13,107"
IN,2014,"5,568",403,"5,971"
KS,2014,"2,534",249,"2,783"
KY,2014,"4,258",831,"5,089"
LA,2014,"3,503","1,103","4,606"
MA,2014,"20,478",759,"21,237"
MD,2014,"6,267","1,589","7,856"
ME,2014,"2,633",93,"2,726"
MI,2014,"10,075","2,152","12,227"
MN,2014,"7,582",795,"8,377"
MO,2014,"6,309",973,"7,282"
MS,2014,"1,405",821,"2,226"
MT,2014,911,834,"1,745"
NC,2014,"8,874","2,617","11,491"
ND,2014,794,464,"1,258"
NE,2014,"2,917",109,"3,026"
NH,2014,"1,243",133,"1,376"
NJ,2014,"10,736",935,"11,671"
NM,2014,"2,318",428,"2,746"
NV,2014,"4,797","5,759","10,556"
NY,2014,"76,487","4,103","80,590"
OH,2014,"10,720","1,103","11,823"
OK,2014,"3,259",932,"4,191"
OR,2014,"6,101","6,063","12,164"
PA,2014,"14,301","1,032","15,333"
PR,2014,"1,406","2,726","4,132"
RI,2014,"1,170",20,"1,190"
SC,2014,"3,249","1,808","5,057"
SD,2014,830,55,885
TN,2014,"6,383","3,032","9,415"
TX,2014,"18,228","10,267","28,495"
UT,2014,"2,768",313,"3,081"
VA,2014,"6,330",690,"7,020"
VI,2014,85,363,448
VT,2014,"1,396",163,"1,559"
WA,2014,"12,540","5,902","18,442"
WI,2014,"5,712",343,"6,055"
WV,2014,"1,583",430,"2,013"
WY,2014,563,194,757
AK,2013,"1,741",205,"1,946"
AL,2013,"3,246","1,443","4,689"
AR,2013,"1,664","2,148","3,812"
AZ,2013,"7,431","3,131","10,562"
CA,2013,"45,554","72,998","118,552"
CO,2013,"7,591","2,163","9,754"
CT,2013,"3,529",919,"4,448"
DC,2013,"6,353",512,"6,865"
DE,2013,936,10,946
FL,2013,"19,670","28,192","47,862"
GA,2013,"8,510","8,461","16,971"
GU,2013,128,"1,143","1,271"
HI,2013,"3,745","2,590","6,335"
IA,2013,"2,950",134,"3,084"
ID,2013,"1,404",377,"1,781"
IL,2013,"11,229","2,196","13,425"
IN,2013,"5,396",700,"6,096"
KS,2013,"2,382",311,"2,693"
KY,2013,"4,491",754,"5,245"
LA,2013,"3,651","1,575","5,226"
MA,2013,"18,179",850,"19,029"
MD,2013,"6,283","1,922","8,205"
ME,2013,"2,954",62,"3,016"
MI,2013,"9,339","2,188","11,527"
MN,2013,"7,299",915,"8,214"
MO,2013,"6,501","2,080","8,581"
MS,2013,"1,083","1,320","2,403"
MT,2013,"1,094",784,"1,878"
NC,2013,"9,013","3,155","12,168"
ND,2013,674,"1,395","2,069"
NE,2013,"2,972",173,"3,145"
NH,2013,"1,245",202,"1,447"
NJ,2013,"10,603","1,399","12,002"
NM,2013,"2,391",428,"2,819"
NV,2013,"3,698","4,745","8,443"
NY,2013,"73,273","4,157","77,430"
OH,2013,"10,987","1,338","12,325"
OK,2013,"3,262","1,146","4,408"
OR,2013,"6,432","7,390","13,822"
PA,2013,"13,727","1,359","15,086"
PR,2013,"1,402","2,726","4,128"
RI,2013,"1,267",117,"1,384"
SC,2013,"3,411","3,133","6,544"
SD,2013,755,339,"1,094"
TN,2013,"6,321","3,207","9,528"
TX,2013,"17,525","12,090","29,615"
UT,2013,"2,859",418,"3,277"
VA,2013,"6,603","1,022","7,625"
VI,2013,119,363,482
VT,2013,"1,270",184,"1,454"
WA,2013,"12,707","5,053","17,760"
WI,2013,"5,736",368,"6,104"
WV,2013,"1,612",628,"2,240"
WY,2013,501,452,953
AK,2012,"1,716",197,"1,913"
AL,2012,"3,664","1,545","5,209"
AR,2012,"1,602","2,612","4,214"
AZ,2012,"8,215","3,087","11,302"
CA,2012,"45,890","74,208","120,098"
CO,2012,"7,260","9,508","16,768"
CT,2012,"3,514",695,"4,209"
DC,2012,"6,275",679,"6,954"
DE,2012,986,22,"1,008"
FL,2012,"19,832","35,338","55,170"
GA,2012,"8,320","12,196","20,516"
GU,2012,187,"1,114","1,301"
HI,2012,"3,726","2,520","6,246"
IA,2012,"2,780",148,"2,928"
ID,2012,"1,482",486,"1,968"
IL,2012,"11,149","2,995","14,144"
IN,2012,"5,370",889,"6,259"
KS,2012,"2,350",334,"2,684"
KY,2012,"4,319",911,"5,230"
LA,2012,"3,807","3,965","7,772"
MA,2012,"16,779",722,"17,501"
MD,2012,"5,942","3,512","9,454"
ME,2012,"2,360",33,"2,393"
MI,2012,"10,270","2,322","12,592"
MN,2012,"6,754",990,"7,744"
MO,2012,"7,893","2,344","10,237"
MS,2012,"1,042","1,371","2,413"
MT,2012,"1,153",680,"1,833"
NC,2012,"8,809","4,715","13,524"
ND,2012,635,53,688
NE,2012,"2,957",832,"3,789"
NH,2012,"1,329",167,"1,496"
NJ,2012,"11,429","1,596","13,025"
NM,2012,"2,397",848,"3,245"
NV,2012,"3,970","5,956","9,926"
NY,2012,"65,482","4,084","69,566"
OH,2012,"12,246","1,731","13,977"
OK,2012,"3,043","1,989","5,032"
OR,2012,"6,545","9,283","15,828"
PA,2012,"13,660","1,076","14,736"
PR,2012,"1,346","1,866","3,212"
RI,2012,"1,249",28,"1,277"
SC,2012,"2,776","2,139","4,915"
SD,2012,795,64,859
TN,2012,"5,778","3,648","9,426"
TX,2012,"17,501","16,551","34,052"
UT,2012,"3,052",475,"3,527"
VA,2012,"6,995","1,429","8,424"
VI,2012,106,378,484
VT,2012,937,223,"1,160"
WA,2012,"15,027","5,477","20,504"
WI,2012,"5,446",581,"6,027"
WV,2012,"1,533",877,"2,410"
WY,2012,475,"1,338","1,813"
AK,2011,"1,760",368,"2,128"
AL,2011,"3,749","1,809","5,558"
AR,2011,"1,802","1,622","3,424"
AZ,2011,"7,302","3,202","10,504"
CA,2011,"50,691","74,437","125,128"
CO,2011,"6,146","8,970","15,116"
CT,2011,"3,761",695,"4,456"
DC,2011,"6,241",305,"6,546"
DE,2011,"1,013",22,"1,035"
FL,2011,"20,824","35,863","56,687"
GA,2011,"8,723","12,252","20,975"
GU,2011,204,"1,541","1,745"
HI,2011,"3,632","2,556","6,188"
IA,2011,"3,013",121,"3,134"
ID,2011,"1,585",614,"2,199"
IL,2011,"11,089","2,920","14,009"
IN,2011,"5,550",646,"6,196"
KS,2011,"2,222",289,"2,511"
KY,2011,"5,183",851,"6,034"
LA,2011,"3,405","5,886","9,291"
MA,2011,"15,961",703,"16,664"
MD,2011,"6,496","3,712","10,208"
ME,2011,"2,418",29,"2,447"
MI,2011,"10,864","2,321","13,185"
MN,2011,"6,567",928,"7,495"
MO,2011,"6,718","2,271","8,989"
MS,2011,"1,056","1,250","2,306"
MT,2011,"1,216",552,"1,768"
NC,2011,"9,245","3,651","12,896"
ND,2011,560,43,603
NE,2011,"3,041",507,"3,548"
NH,2011,"1,159",310,"1,469"
NJ,2011,"12,830","1,307","14,137"
NM,2011,"2,753",848,"3,601"
NV,2011,"4,545","6,034","10,579"
NY,2011,"59,778","3,667","63,445"
OH,2011,"11,224","1,806","13,030"
OK,2011,"2,988","1,637","4,625"
OR,2011,"7,012","10,242","17,254"
PA,2011,"14,036","1,060","15,096"
PR,2011,"1,034","1,866","2,900"
RI,2011,"1,039",31,"1,070"
SC,2011,"2,954","2,139","5,093"
SD,2011,762,64,826
TN,2011,"5,915","3,198","9,113"
TX,2011,"18,972","17,939","36,911"
UT,2011,"2,687",443,"3,130"
VA,2011,"7,386","1,430","8,816"
VI,2011,154,378,532
VT,2011,"1,021",123,"1,144"
WA,2011,"15,075","5,364","20,439"
WI,2011,"5,355",430,"5,785"
WV,2011,"1,405",806,"2,211"
WY,2011,195,843,"1,038"
AK,2010,"1,671",192,"1,863"
AL,2010,"3,891","2,155","6,046"
AR,2010,"1,728","1,034","2,762"
AZ,2010,"7,214","6,497","13,711"
CA,2010,"50,899","72,581","123,480"
CO,2010,"9,031","6,451","15,482"
CT,2010,"3,817",499,"4,316"
DC,2010,"6,109",430,"6,539"
DE,2010,930,52,982
FL,2010,"21,817","35,734","57,551"
GA,2010,"8,746","11,090","19,836"
GU,2010,182,"1,453","1,635"
HI,2010,"3,535","2,299","5,834"
IA,2010,"2,903",111,"3,014"
ID,2010,"1,564",782,"2,346"
IL,2010,"12,208","2,187","14,395"
IN,2010,"5,233","1,219","6,452"
KS,2010,"1,828",196,"2,024"
KY,2010,"5,599","1,024","6,623"
LA,2010,"4,096","8,386","12,482"
MA,2010,"15,595","1,051","16,646"
MD,2010,"6,515","4,330","10,845"
ME,2010,"2,351",28,"2,379"
MI,2010,"10,219","2,839","13,058"
MN,2010,"6,730","1,139","7,869"
MO,2010,"6,336","1,786","8,122"
MS,2010,"1,181","1,562","2,743"
MT,2010,"1,168",447,"1,615"
NC,2010,"9,173","3,018","12,191"
ND,2010,768,31,799
NE,2010,"3,355",522,"3,877"
NH,2010,"1,337",237,"1,574"
NJ,2010,"12,083","1,654","13,737"
NM,2010,"2,108","1,367","3,475"
NV,2010,"7,848","6,746","14,594"
NY,2010,"61,467","4,139","65,606"
OH,2010,"10,729","1,840","12,569"
OK,2010,"3,315","1,914","5,229"
OR,2010,"7,231","12,261","19,492"
PA,2010,"13,418","1,098","14,516"
PR,2010,"1,404","2,745","4,149"
RI,2010,"1,206",76,"1,282"
SC,2010,"3,036","1,437","4,473"
SD,2010,667,64,731
TN,2010,"6,999","3,277","10,276"
TX,2010,"19,191","15,930","35,121"
UT,2010,"2,722",562,"3,284"
VA,2010,"7,439","1,641","9,080"
VI,2010,92,395,487
VT,2010,"1,078",142,"1,220"
WA,2010,"16,489","6,389","22,878"
WI,2010,"5,253","1,080","6,333"
WV,2010,"1,524",740,"2,264"
WY,2010,515,64,579
AK,2009,"1,665",327,"1,992"
AL,2009,"3,913","2,167","6,080"
AR,2009,"1,730","1,122","2,852"
AZ,2009,"8,366","6,355","14,721"
CA,2009,"50,777","72,901","123,678"
CO,2009,"9,031","6,237","15,268"
CT,2009,"4,103",502,"4,605"
DC,2009,"5,907",321,"6,228"
DE,2009,"1,083",47,"1,130"
FL,2009,"21,867","33,732","55,599"
GA,2009,"9,419","10,941","20,360"
GU,2009,182,906,"1,088"
HI,2009,"3,268","2,514","5,782"
IA,2009,"3,221",159,"3,380"
ID,2009,"1,477",462,"1,939"
IL,2009,"11,851","2,204","14,055"
IN,2009,"5,206","1,778","6,984"
KS,2009,"1,696",196,"1,892"
KY,2009,"5,299",700,"5,999"
LA,2009,"4,118","8,386","12,504"
MA,2009,"14,476","1,006","15,482"
MD,2009,"7,446","4,252","11,698"
ME,2009,"2,406",38,"2,444"
MI,2009,"11,298","2,707","14,005"
MN,2009,"6,772",946,"7,718"
MO,2009,"5,469","1,490","6,959"
MS,2009,"1,221","1,576","2,797"
MT,2009,833,363,"1,196"
NC,2009,"8,473","4,445","12,918"
ND,2009,765,8,773
NE,2009,"3,079",639,"3,718"
NH,2009,"1,406",239,"1,645"
NJ,2009,"11,871","1,298","13,169"
NM,2009,"2,108","1,367","3,475"
NV,2009,"7,792","6,686","14,478"
NY,2009,"57,454","3,613","61,067"
OH,2009,"10,929","1,771","12,700"
OK,2009,"3,307","1,531","4,838"
OR,2009,"7,442","9,867","17,309"
PA,2009,"13,819","1,277","15,096"
PR,2009,"1,325","2,745","4,070"
RI,2009,"1,556",51,"1,607"
SC,2009,"3,036","1,437","4,473"
SD,2009,667,64,731
TN,2009,"7,133","3,399","10,532"
TX,2009,"21,658","15,103","36,761"
UT,2009,"3,540",255,"3,795"
VA,2009,"7,284","1,568","8,852"
VI,2009,76,395,471
VT,2009,"1,057",157,"1,214"
WA,2009,"16,237","6,545","22,782"
WI,2009,"5,465","1,060","6,525"
WV,2009,"1,278",389,"1,667"
WY,2009,451,64,515
AK,2008,"1,452",194,"1,646"
AL,2008,"3,843","1,544","5,387"
AR,2008,"2,020","1,235","3,255"
AZ,2008,"6,970","5,518","12,488"
CA,2008,"46,965","89,566","136,531"
CO,2008,"6,877","7,870","14,747"
CT,2008,"4,020",607,"4,627"
DC,2008,"5,666",378,"6,044"
DE,2008,862,71,933
FL,2008,"20,724","29,434","50,158"
GA,2008,"8,865","10,230","19,095"
GU,2008,103,622,725
HI,2008,"2,703","3,358","6,061"
IA,2008,"3,087",259,"3,346"
ID,2008,"1,250",214,"1,464"
IL,2008,"11,480","3,244","14,724"
IN,2008,"5,923","1,472","7,395"
KS,2008,"1,500",238,"1,738"
KY,2008,"6,195","1,942","8,137"
LA,2008,"3,700","1,781","5,481"
MA,2008,"13,437","1,069","14,506"
MD,2008,"6,054","3,165","9,219"
ME,2008,"2,588",44,"2,632"
MI,2008,"11,781","16,467","28,248"
MN,2008,"6,270","1,374","7,644"
MO,2008,"5,607","2,080","7,687"
MS,2008,"1,206",755,"1,961"
MT,2008,"1,007",410,"1,417"
NC,2008,"8,025","4,386","12,411"
ND,2008,596,19,615
NE,2008,"3,227",758,"3,985"
NH,2008,"1,535",484,"2,019"
NJ,2008,"11,860","1,972","13,832"
NM,2008,"1,748","1,267","3,015"
NV,2008,"4,863","7,747","12,610"
NY,2008,"56,516","4,609","61,125"
OH,2008,"10,377","2,535","12,912"
OK,2008,"2,803","1,043","3,846"
OR,2008,"9,946","10,707","20,653"
PA,2008,"14,079","1,299","15,378"
PR,2008,810,"2,202","3,012"
RI,2008,"1,142",54,"1,196"
SC,2008,"3,086","2,574","5,660"
SD,2008,538,41,579
TN,2008,"5,660","4,045","9,705"
TX,2008,"24,080","16,110","40,190"
UT,2008,"3,178",256,"3,434"
VA,2008,"6,895","1,574","8,469"
VI,2008,115,487,602
VT,2008,696,258,954
WA,2008,"15,456","6,498","21,954"
WI,2008,"4,934",515,"5,449"
WV,2008,"1,422",594,"2,016"
WY,2008,619,132,751
AK,2007,"1,387",255,"1,642"
AL,2007,"3,796","1,656","5,452"
AR,2007,"2,285","1,551","3,836"
AZ,2007,"8,618","6,028","14,646"
CA,2007,"48,511","90,475","138,986"
CO,2007,"6,971","7,254","14,225"
CT,2007,"3,671",811,"4,482"
DC,2007,"4,980",340,"5,320"
DE,2007,854,207,"1,061"
FL,2007,"20,529","27,540","48,069"
GA,2007,"8,341","11,298","19,639"
GU,2007,103,622,725
HI,2007,"2,712","3,358","6,070"
IA,2007,"2,441",293,"2,734"
ID,2007,"1,125",624,"1,749"
IL,2007,"12,171","3,316","15,487"
IN,2007,"6,096","1,262","7,358"
KS,2007,"1,829",282,"2,111"
KY,2007,"5,940","2,121","8,061"
LA,2007,"3,917","1,577","5,494"
MA,2007,"13,713","1,414","15,127"
MD,2007,"6,418","3,210","9,628"
ME,2007,"2,576",62,"2,638"
MI,2007,"11,552","16,743","28,295"
MN,2007,"5,878","1,445","7,323"
MO,2007,"5,137","1,110","6,247"
MS,2007,851,526,"1,377"
MT,2007,855,295,"1,150"
NC,2007,"7,879","3,923","11,802"
ND,2007,577,59,636
NE,2007,"3,007",524,"3,531"
NH,2007,"1,273",975,"2,248"
NJ,2007,"14,836","2,478","17,314"
NM,2007,"1,748","1,267","3,015"
NV,2007,"4,818","7,708","12,526"
NY,2007,"57,281","5,320","62,601"
OH,2007,"9,380","1,884","11,264"
OK,2007,"3,089","1,132","4,221"
OR,2007,"8,329","9,261","17,590"
PA,2007,"14,741","1,479","16,220"
PR,2007,"1,368","2,941","4,309"
RI,2007,"1,323",49,"1,372"
SC,2007,"3,086","2,574","5,660"
SD,2007,538,41,579
TN,2007,"6,446","4,764","11,210"
TX,2007,"22,882","16,906","39,788"
UT,2007,"2,698",313,"3,011"
VA,2007,"7,567","2,179","9,746"
VI,2007,72,487,559
VT,2007,720,315,"1,035"
WA,2007,"16,857","6,522","23,379"
WI,2007,"5,085",563,"5,648"
WV,2007,"2,147",262,"2,409"
WY,2007,397,140,537